cnpj;nm_fundo;gestor;classif_cvm;classif_anbima;aplicacao_inicial;mov_minima;saldo_perm;cotizacao;liquidacao;tx_adm;tx_performance;dt_inicio;ret_mes_jul_23;ret_2023;ret_12m;ret_24m;ret_36m;ret_cdi_mes_jul_23;ret_cdi_2023;ret_cdi_12m;ret_cdi_24m;ret_cdi_36m;vol_12m;vol_begin;sharpe_12m;sharpe_begin;pl_milhares
28858089000140;4um Inflacao Ima-B 5 FI RF LP;4um Gestao de Recursos Ltda;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; R$ 500 ; R$ 100 ; R$ 500 ;D+000;D+001;0,40%;-;13/2/2019;0,90%;6,89%;10,25%;17,30%;19,42%;83,70%;90,23%;75,46%;71,20%;71,05%;1,82%;7,65%;-1,61;0,08;37.241,38 
09599346000122;4um Marlim Dividendos FIA;4um Gestao de Recursos Ltda;Ações;Ações Dividendos; R$ 500 ; R$ 100 ; R$ 500 ;D+001;D+004;2,00%;20 % QUE EXCEDER 100 % DO Ibovespa Fechamento;30/6/2008;2,97%;13,88%;17,55%;10,05%;28,25%;277,03%;181,65%;129,19%;41,37%;103,39%;17,79%;17,05%;0,29;0,10;231.164,89 
09550197000107;4um Small Caps FIA;4um Gestao de Recursos Ltda;Ações;Ações Small Caps; R$ 500 ; R$ 100 ; R$ 500 ;D+017;D+020;2,00%;20 % QUE EXCEDER 100 % DO Ibovespa Fechamento;30/6/2008;6,72%;21,06%;19,92%;1,87%;12,56%;627,20%;275,69%;146,60%;7,72%;45,95%;23,48%;19,41%;0,36;0,18;295.191,59 
33624201000119;4um Valor Institucional FIA;4um Gestao de Recursos Ltda;Ações;Ações Livre; R$ 500 ; R$ 100 ; R$ 500 ;D+001;D+004;2,00%;-;4/1/2021;4,52%;16,38%;11,73%;5,26%;-;421,60%;214,36%;86,37%;21,66%;-;24,07%;22,41%;0,05;-0,27;21.459,79 
38452175000102;A1 Hedge Advisory Fc FI Mult;Asset1 Investimentos S A;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 1.000 ; R$ 5.000 ;D+030;D+031;2,00%;20% da valorização da cota do Fundo que, em cada semestre civil, exceder a 100% do CDI;9/10/2020;-0,09%;5,61%;5,26%;7,07%;-;-8,51%;73,43%;38,74%;29,08%;-;4,02%;3,90%;-1,81;-1,74;25.765,90 
36181846000112;A1 Hedge Fc Mult;Asset1 Investimentos S A;Multimercado;Multimercados Livre; R$ 25.000 ; R$ 1.000 ; R$ 10.000 ;D+030;D+031;2,00%;20.0000% que exceder 100.0000  do CDI;1/4/2020;-0,09%;5,65%;5,32%;7,19%;7,72%;-8,11%;73,93%;39,13%;29,59%;28,25%;4,02%;3,85%;-1,80;-0,67;117.037,98 
18814971000130;A3 FI Cotas FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,35%;15 % QUE EXCEDER 100 % DO Outros;29/10/2013;5,26%;25,68%;18,10%;-15,82%;10,63%;491,11%;336,15%;133,25%;-65,14%;38,90%;20,06%;21,91%;0,30;0,38;81.138,67 
19186855000187;A3 Performance FICFI Mult Cred Priv Ie;A3 Performance;Multimercado;Multimercados Invest. no Exterior; - ; - ; - ;D+000;D+005;0,38%;10 % QUE EXCEDER 100 % DO CDI;19/12/2013;1,76%;6,39%;5,51%;10,84%;19,16%;163,91%;83,69%;40,56%;44,64%;70,09%;7,27%;8,60%;-0,95;0,21;68.860,29 
36352346000104;ARX Credit Opportunit K FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+090;D+091;0,40%;-;8/6/2020;1,54%;5,75%;12,85%;27,43%;37,87%;143,21%;75,26%;94,59%;112,92%;138,57%;0,83%;0,61%;-0,79;5,13;139.962,03 
41888219000156;ARX Denali Adv Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ 500 ; R$ 500 ;D+000;D+001;0,40%;-;5/8/2021;1,21%;6,61%;12,99%;-;-;112,81%;86,51%;95,64%;-;-;0,34%;0,27%;-1,55;1,61;1.296.538,62 
30921203000181;ARX Denali Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+001;0,40%;-;24/8/2018;1,21%;6,60%;12,97%;25,31%;31,90%;112,83%;86,33%;95,49%;104,16%;116,72%;0,34%;0,62%;-1,60;0,85;573.823,98 
45605070000101;ARX Denali P Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+001;0,40%;-;22/8/2022;1,20%;6,56%;-;-;-;112,04%;85,82%;-;-;-;0,35%;0,35%;-1,95;-1,95;39.726,70 
32319627000104;ARX Elb Adv Fc Fundos Inc Inv Infra RF;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 1.000 ; R$ 500 ; R$ 1.000 ;D+030;D+031;0,70%;-;25/3/2019;1,92%;9,77%;10,49%;22,46%;33,69%;179,57%;127,90%;77,20%;92,46%;123,28%;3,25%;3,91%;-0,83;0,60;627.749,89 
30910199000156;ARX Elbrus Fc Fundos Incent Inv Infr RF;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 500 ; R$ 100 ; R$ 100 ;D+030;D+031;0,70%;-;24/8/2018;1,92%;9,77%;10,48%;22,38%;33,76%;179,50%;127,87%;77,15%;92,14%;123,55%;3,25%;3,74%;-0,83;0,84;445.569,32 
39959156000130;ARX Elbrus Pro Adv I Fc F I I Infr RF;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 3.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,70%;-;9/4/2021;1,57%;12,84%;13,31%;18,96%;-;146,27%;168,09%;97,98%;78,03%;-;5,92%;6,03%;-0,01;-0,15;39.085,39 
37368116000198;ARX Elbrus Pro Fc F Inc Inv Infra RF;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 3.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,70%;-;29/7/2020;1,57%;12,85%;13,34%;19,09%;60,65%;146,14%;168,21%;98,16%;78,56%;221,93%;5,92%;11,33%;-0,01;0,86;34.209,71 
35789436000196;ARX Everest Adv Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; - ; - ; - ;D+060;D+061;0,70%;-;5/2/2020;1,52%;5,44%;12,62%;26,73%;37,14%;141,87%;71,17%;92,92%;110,01%;135,90%;0,88%;0,90%;-0,97;2,03;787.907,78 
32102131000176;ARX Everest Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+060;D+061;0,70%;-;13/12/2018;1,52%;5,43%;12,60%;26,68%;37,06%;141,68%;71,04%;92,77%;109,81%;135,61%;0,88%;0,80%;-0,99;2,02;358.014,57 
06041290000106;ARX Extra Fc FI Mult;ARX Investimentos Ltda;Multimercado;Multimercados Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+004;D+005;2,00%;20 % QUE EXCEDER 100 % DO CDI;29/12/2003;4,89%;-1,56%;-9,15%;-5,59%;7,29%;456,61%;-20,47%;-67,37%;-23,00%;26,68%;18,06%;7,38%;-1,04;0,35;94.505,11 
32225663000109;ARX Hedge Fc Fundos Inc Invest Infra RF;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Alta Crédito Livre; R$ 1.000 ; R$ 3.000 ; R$ 1.000 ;D+030;D+032;0,70%;-;28/12/2018;2,18%;8,30%;12,57%;25,96%;34,39%;203,13%;108,62%;92,51%;106,88%;125,86%;1,43%;1,46%;-0,62;0,49;205.595,02 
03168062000103;ARX Income Fc FIA;ARX Investimentos Ltda;Ações;Ações Dividendos; R$ 5.000 ; R$ 1.000 ; R$ 1.000 ;D+001;D+003;2,94%;-;1/7/1999;3,53%;5,87%;10,01%;-7,19%;3,81%;329,20%;76,85%;73,65%;-29,61%;13,93%;20,68%;22,33%;-0,05;0,41;322.777,62 
38027169000108;ARX Income Inst Fc FIA;ARX Investimentos Ltda;Ações;Ações Dividendos; R$ 250.000 ; R$ -   ; R$ 250.000 ;D+001;D+003;2,00%;-;4/11/2020;3,61%;6,41%;11,01%;-5,62%;-;336,93%;83,92%;81,03%;-23,12%;-;20,67%;19,50%;-0,01;-0,08;194.658,18 
10237480000162;ARX Long Term Fc FIA;ARX Investimentos Ltda;Ações;Ações Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+032;2,00%;20 % QUE EXCEDER 100 % DO IGP-M;5/9/2008;4,28%;4,95%;8,02%;-23,00%;-7,74%;399,46%;64,84%;59,02%;-94,66%;-28,33%;21,91%;22,31%;-0,12;0,36;17.753,97 
17414721000140;ARX Macro Fc FI Mult;ARX Investimentos Ltda;Multimercado;Multimercados Macro; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+001;2,00%;20.0000% que exceder 100.0000  do CDI;30/6/2015;4,64%;1,51%;-4,76%;2,51%;15,94%;433,23%;19,77%;-35,05%;10,33%;58,31%;14,99%;8,38%;-1,02;0,11;180.329,25 
35927302000194;ARX Soberano FI RF Ref DI;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Soberano; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+000;0,18%;-;28/5/2020;1,04%;7,45%;13,30%;23,92%;26,24%;96,55%;97,46%;97,86%;98,44%;96,03%;0,04%;0,40%;-7,22;-1,07;57.694,13 
38026664000100;ARX Vinson Clean Fee Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,33%;-;15/9/2020;1,44%;5,48%;12,22%;25,40%;-;134,45%;71,76%;89,92%;104,56%;-;0,78%;0,95%;-1,55;1,85;32.646,62 
30910553000142;ARX Vinson Fc RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,50%;-;24/8/2018;1,43%;5,42%;12,12%;25,17%;34,19%;133,39%;70,98%;89,20%;103,62%;125,12%;0,79%;0,80%;-1,65;1,06;583.676,10 
45605097000102;ARX Vinson P Fc FI RF Cred Priv;ARX Investimentos Ltda;Renda Fixa;Renda Fixa Duração Baixa Crédito Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,50%;-;5/1/2023;1,43%;-;-;-;-;133,50%;-;-;-;-;-;1,28%;-;-3,17;197.684,98 
29298535000172;Aberdeen M A Growth Advisory FI Mult Ie;Xp Allocation Asset Management Ltda;Multimercado;Multimercados Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,80%;-;27/2/2018;1,74%;8,95%;10,81%;15,18%;35,03%;162,40%;117,17%;79,59%;62,48%;128,20%;6,46%;6,71%;-0,35;0,02;14.534,52 
46590372000116;Abs Genesis Fc FI Mult Cred Priv Ie;BTG Pactual Wm Gestao de Recursos Ltda;Multimercado;Multimercados Invest. no Exterior; R$ -   ; R$ -   ; R$ -   ;D+000;D+005;0,30%;-;23/6/2022;2,61%;10,74%;18,55%;-;-;243,51%;140,55%;136,50%;-;-;3,42%;3,25%;1,30;1,23;236.155,74 
29813769000100;Absolute Alpha Global Adv Fc FI Mult;Absolute;Multimercado;Multimercados Estrat. Específica; R$ 5.000 ; R$ 1.000 ; R$ 3.000 ;D+017;D+018;1,90%;-;27/6/2019;1,36%;6,27%;13,19%;21,13%;23,75%;126,94%;82,01%;97,06%;86,97%;86,92%;2,31%;1,75%;-0,14;-0,12;170.879,11 
21983042000160;Absolute Alpha Global Fc FI Mult;Absolute;Multimercado;Multimercados Estrat. Específica; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+017;D+018;1,90%;20.0000% que exceder 100.0000  do CDI;29/5/2015;1,36%;6,28%;13,21%;21,15%;23,80%;127,13%;82,24%;97,23%;87,07%;87,09%;2,31%;2,73%;-0,13;0,68;537.185,66 
30797371000107;Absolute Alpha Global II Fc FIA;Absolute;Ações;Ações Livre; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+015;D+017;1,90%;20% que exceder 100% do CDI;21/8/2018;1,88%;3,16%;14,04%;18,47%;24,03%;175,06%;41,30%;103,37%;76,04%;87,93%;7,60%;5,14%;0,09;0,11;69.943,72 
35617938000130;Absolute Alpha Marb Advisory FICFI Mult;Absolute;Multimercado;Multimercados Estrat. Específica; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+017;D+018;1,90%;-;27/12/2019;2,21%;4,22%;14,67%;19,64%;25,62%;206,17%;55,24%;107,95%;80,84%;93,75%;7,51%;5,75%;0,16;0,05;117.783,32 
35618055000144;Absolute Alpha Marb Fc FI Mult;Absolute;Multimercado;Multimercados Estrat. Específica; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+017;D+018;1,90%;20% que exceder 100% do CDI;27/12/2019;2,27%;4,34%;14,86%;19,93%;25,92%;211,99%;56,75%;109,36%;82,05%;94,85%;7,61%;5,85%;0,18;0,06;306.672,28 
47628864000116;Absolute Atenas Fc FI RF Cred Priv;Absolute Credito Gestao de Investimentos;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ 500 ; R$ 500 ;D+000;D+001;0,38%;-;28/10/2022;1,28%;7,72%;-;-;-;119,20%;101,06%;-;-;-;-;0,24%;-;2,13;56.633,21 
47612663000120;Absolute Atenas P Fc FI RF Cred Priv;Absolute Credito Gestao de Investimentos;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ 500 ; R$ 500 ;D+000;D+001;0,38%;-;28/10/2022;1,28%;7,73%;-;-;-;119,22%;101,12%;-;-;-;-;0,25%;-;2,13;60.001,02 
48096240000168;Absolute Creta Fc FI RF Cred Priv;Absolute Credito Gestao de Investimentos;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ 100 ; R$ 500 ;D+030;D+031;0,58%;-;28/10/2022;1,37%;7,68%;-;-;-;127,46%;100,46%;-;-;-;-;0,35%;-;1,78;51.842,57 
47628957000140;Absolute Creta P Fc FI RF Cred Priv;Absolute Credito Gestao de Investimentos;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+031;0,58%;-;28/10/2022;1,36%;7,65%;-;-;-;127,29%;100,08%;-;-;-;-;0,35%;-;1,70;41.097,21 
39959422000124;Absolute Endurance Fc FIA;Absolute;Ações;Ações Valor/Crescimento; - ; - ; - ;D+030;D+032;1,40%;20.0000% que exceder 100.0000  do Ibovespa Fechamento+1:65536;30/12/2020;5,76%;20,27%;21,69%;16,84%;-;536,97%;265,31%;159,62%;69,30%;-;21,02%;21,16%;0,45;0,11;82.310,33 
27944378000108;Absolute Estrategia Vertex Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 50.000 ; R$ 10.000 ; R$ 10.000 ;D+029;D+030;1,90%;20.0000% que exceder 100.0000  do CDI;25/7/2018;2,41%;9,70%;18,89%;40,83%;48,59%;224,91%;127,01%;139,02%;168,09%;177,79%;4,07%;4,48%;1,17;0,90;595.352,23 
18860059000115;Absolute Hedge Fc de FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+004;D+005;1,90%;20 % QUE EXCEDER 100 % DO CDI;30/9/2013;1,73%;8,21%;15,28%;30,28%;34,60%;161,09%;107,44%;112,48%;124,64%;126,60%;2,05%;3,12%;0,74;0,54;2.415.470,15 
47612737000129;Absolute Hidra CDI Fc FI In RF Cred Priv;Absolute Credito Gestao de Investimentos;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 500 ; R$ -   ; R$ 500 ;D+030;D+031;0,68%;-;28/10/2022;1,84%;10,05%;-;-;-;171,85%;131,60%;-;-;-;-;0,60%;-;6,10;116.265,35 
38032483000189;Absolute Hiker Institucional Fc FI RF LP;Absolute;Renda Fixa;Renda Fixa Duração Livre Soberano; - ; - ; - ;D+003;D+004;0,80%;20.0000% que exceder 100.0000  do CDI;29/1/2021;0,89%;5,64%;11,97%;25,37%;-;83,37%;73,77%;88,13%;104,43%;-;1,03%;1,39%;-1,38;0,11;111.313,03 
35395895000195;Absolute Icatu II Prev Fc FI Mult;Absolute;Multimercado;Previdência Multimercado Livre; - ; - ; - ;D+000;D+003;1,20%;-;28/11/2019;1,43%;8,16%;14,46%;27,26%;31,88%;133,53%;106,87%;106,42%;112,21%;116,66%;1,52%;1,77%;0,52;0,21;27.508,29 
48986106000132;Absolute Olimpia Fc FI Mult Cred Priv;Absolute Credito Gestao de Investimentos;Multimercado;Multimercados Livre; R$ 500 ; R$ 100 ; R$ 500 ;D+060;D+061;0,78%;20,0000% que exceder 100,0000 do CDI;30/12/2022;1,26%;8,87%;-;-;-;117,89%;116,07%;-;-;-;-;0,28%;-;7,05;139.573,16 
32892827000143;Absolute Pace Lb Adv Fc FIA;Absolute;Ações;Ações Livre; R$ 5.000 ; R$ 1.000 ; R$ 3.000 ;D+030;D+033;1,90%;20% que exceder 100% do Outros;27/6/2019;5,00%;20,65%;25,32%;36,52%;65,50%;465,97%;270,29%;186,36%;150,31%;239,69%;13,17%;21,14%;0,86;0,69;370.805,68 
41127188000110;Absolute Pace Lb Whg Fc FIA;Absolute;Ações;Ações Livre; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+030;D+032;1,90%;-;7/6/2021;4,76%;19,27%;23,70%;34,41%;-;443,62%;252,22%;174,47%;141,63%;-;12,44%;14,38%;0,79;0,25;213.849,86 
31594616000161;Absolute Pace Long Biased CSHG Fc FIA;Absolute;Ações;Ações Livre; R$ 50.000 ; R$ 50.000 ; R$ 50.000 ;D+030;D+032;1,90%;-;28/12/2018;4,89%;20,10%;24,77%;35,86%;64,73%;456,43%;263,10%;182,28%;147,59%;236,86%;13,05%;20,30%;0,83;0,91;276.209,90 
32073525000143;Absolute Pace Long Biased Fc FIA;Absolute;Ações;Ações Livre; R$ 50.000 ; R$ 5.000 ; R$ 25.000 ;D+030;D+032;1,90%;20 % QUE EXCEDER 100 % DO Outros;27/12/2018;4,95%;20,13%;24,77%;35,84%;64,15%;461,72%;263,44%;182,30%;147,54%;234,74%;12,98%;20,25%;0,83;0,94;1.088.219,73 
32162764000170;Absolute Prev Itau Fc FI Mult;Absolute;Multimercado;Previdência Multimercado Livre; R$ 1 ; R$ 1 ; R$ 1 ;D+002;D+004;2,00%;-;26/6/2019;1,76%;8,35%;15,14%;27,55%;31,65%;164,53%;109,32%;111,43%;113,42%;115,81%;2,22%;2,10%;0,63;0,22;579.802,78 
35345170000192;Absolute Red Prev Fc FI Mult;Absolute;Multimercado;Previdência Multimercado Livre; - ; - ; - ;D+000;D+003;1,95%;-;1/6/2020;1,42%;7,80%;13,76%;25,99%;29,81%;132,88%;102,09%;101,25%;106,97%;109,07%;1,52%;1,78%;0,11;0,39;1.179.826,46 
37626796000100;Absolute Svp Prev Fc FI Mult;Absolute;Multimercado;Previdência Multimercado Livre; - ; - ; - ;D+000;D+003;1,95%;20.0000% que exceder 100.0000  do CDI;22/12/2020;1,40%;7,83%;13,76%;25,64%;-;130,78%;102,45%;101,26%;105,56%;-;1,44%;1,62%;0,11;0,49;263.167,32 
42287643000108;Absolute Vertex 45 Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 500 ; R$ 100 ; R$ 100 ;D+044;D+045;1,90%;20% que exceder 100% do CDI;29/9/2021;2,44%;9,67%;18,30%;-;-;227,31%;126,55%;134,72%;-;-;4,16%;4,14%;1,02;1,75;47.432,81 
28947266000165;Absolute Vertex Adv Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 10.000 ; R$ 5.000 ; R$ 5.000 ;D+044;D+045;1,90%;20% que exceder 100% do CDI;12/11/2018;2,42%;9,68%;18,83%;40,77%;48,49%;225,54%;126,64%;138,61%;167,80%;177,42%;4,07%;4,42%;1,16;1,03;1.258.450,58 
18422272000145;Absolute Vertex CSHG FICFI Mult;Absolute;Multimercado;Multimercados Macro; R$ 50.000 ; R$ 50.000 ; R$ 50.000 ;D+029;D+030;1,90%;20 % QUE EXCEDER 100 % DO CDI;18/9/2013;2,41%;9,71%;18,88%;40,79%;48,52%;224,65%;127,07%;138,93%;167,92%;177,54%;4,06%;5,72%;1,17;0,79;1.934.786,68 
34287184000134;Absolute Vertex Excellence Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 10.000 ; R$ 10.000 ; R$ 5.000 ;D+044;D+045;1,90%;-;30/8/2019;2,40%;9,67%;18,84%;40,73%;48,40%;223,65%;126,54%;138,69%;167,64%;177,10%;4,07%;4,36%;1,16;1,10;44.231,69 
21470989000177;Absolute Vertex FIC FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 100.000 ; R$ 10.000 ; R$ 10.000 ;D+029;D+030;1,90%;-;25/3/2015;2,42%;9,71%;18,87%;40,82%;48,57%;225,98%;127,05%;138,88%;168,03%;177,73%;4,08%;6,15%;1,17;0,81;3.083.353,75 
41901161000133;Absolute Vertex Feeder I Fc FI Mult;Absolute;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 5.000 ; R$ 5.000 ;D+029;D+030;1,90%;20.0000% que exceder 100.0000  do CDI;10/8/2021;2,42%;9,70%;18,85%;-;-;225,73%;126,92%;138,73%;-;-;4,07%;4,19%;1,16;1,55;124.753,23 
23565803000199;Absolute Vertex II Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+029;D+030;1,90%;20% que exceder 100% do CDI;28/12/2015;2,41%;9,69%;18,87%;40,83%;48,56%;224,89%;126,82%;138,92%;168,05%;177,70%;4,07%;6,03%;1,17;0,78;4.617.429,64 
35345268000140;Absolute Vertex IV Fc FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+029;D+030;1,90%;-;19/2/2020;2,40%;9,69%;18,88%;40,81%;48,60%;223,73%;126,81%;138,94%;167,98%;177,82%;4,06%;4,73%;1,17;0,93;113.381,21 
45681910000115;Absolute Vertex Prev Fife FI Mult;Absolute;Multimercado;Previdência Multimercado Livre; - ; - ; - ;D+021;D+022;2,00%;20,0000% que exceder 100,0000 do CDI;28/7/2022;2,30%;9,59%;17,75%;-;-;214,61%;125,57%;130,65%;-;-;3,78%;3,77%;0,99;0,97;387.589,73 
31963220000144;Absolute Vertex Red Fc de FI Mult;Absolute;Multimercado;Multimercados Macro; R$ 10.000 ; R$ 10.000 ; R$ 5.000 ;D+044;D+045;1,90%;20% que exceder 100% do CDI;7/2/2019;2,43%;9,70%;18,84%;40,76%;48,49%;227,00%;126,98%;138,65%;167,79%;177,42%;4,08%;4,43%;1,16;0,91;647.084,60 
